	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes
44	R3021	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
45	R0	('qtm', 'qsm', 'pm', 'tm', 'qlm')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
46	R1	('qtm', 'qsm', 'pm', 'tm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
47	R2	('qtm', 'qsm', 'pm', 'tm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
48	R3	('qtm', 'qsm', 'pm', 'tm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
49	R01	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
50	R02	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
51	R03	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
52	R21	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
53	R31	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
54	R23	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
55	R021	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
56	R031	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
57	R023	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
58	R321	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
59	R3021	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
60	R0	('qtm', 'qsm', 'pm', 'tm', 'qlm')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
61	R1	('qtm', 'qsm', 'pm', 'tm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
62	R2	('qtm', 'qsm', 'pm', 'tm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
63	R3	('qtm', 'qsm', 'pm', 'tm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
64	R01	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
65	R02	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
66	R03	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
67	R21	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
68	R31	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
69	R23	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
70	R021	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
71	R031	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
72	R023	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
73	R321	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
74	R3021	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
75	R0	('qtm', 'qsm', 'pm', 'tm', 'qlm')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
76	R1	('qtm', 'qsm', 'pm', 'tm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
77	R2	('qtm', 'qsm', 'pm', 'tm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
78	R3	('qtm', 'qsm', 'pm', 'tm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
79	R01	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
80	R02	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
